dataset,task,variant,seed,source_kind,source_priority,source_path,accuracy,micro_f1,macro_f1,weighted_f1,roc_auc,average_precision,log_loss,mrr,rmse,mae,r2
rel-salt,item-plant,dfs,44,task_root,0,results/rel-salt_item-plant_tabpfn/dfs/seed44/metrics.csv,0.9689223057644112,0.9689223057644112,0.7583513823091973,0.9646928504738934,,,0.150594004859932,0.9769005847953216,,,
rel-salt,item-plant,fdhg,41,task_root,0,results/rel-salt_item-plant_tabpfn/fdhg_dmax1/seed41/metrics.csv,0.9659147869674184,0.9659147869674184,0.7134260140254263,0.9652401355518794,,,0.131889389148009,0.9775661375661376,,,
rel-salt,item-plant,fdhg,42,task_root,0,results/rel-salt_item-plant_tabpfn/fdhg_dmax1/seed42/metrics.csv,0.9654135338345864,0.9654135338345864,0.8042257820476759,0.963751142773586,,,0.1386729991388176,0.975602299399292,,,
rel-salt,item-plant,fdhg,43,task_root,0,results/rel-salt_item-plant_tabpfn/fdhg_dmax1/seed43/metrics.csv,0.9644110275689224,0.9644110275689224,0.7842787329971458,0.9643702136272566,,,0.1308856608362673,0.976186895810956,,,
rel-salt,item-plant,fdhg,44,task_root,0,results/rel-salt_item-plant_tabpfn/fdhg_dmax1/seed44/metrics.csv,0.9704260651629072,0.9704260651629072,0.7916154983422873,0.9689281470374652,,,0.1321259351376764,0.9788809324899552,,,
rel-salt,item-shippoint,dfs,41,task_root,0,results/rel-salt_item-shippoint_tabpfn/dfs/seed41/metrics.csv,0.7447342026078235,0.7447342026078235,0.3769074583442419,0.6466348079805864,,,0.606006491234236,0.867222500835841,,,
rel-salt,item-shippoint,dfs,42,task_root,0,results/rel-salt_item-shippoint_tabpfn/dfs/seed42/metrics.csv,0.7627883650952858,0.7627883650952858,0.4080671339990484,0.6660213469725201,,,0.6072288676723187,0.8772525911066532,,,
rel-salt,item-shippoint,dfs,43,task_root,0,results/rel-salt_item-shippoint_tabpfn/dfs/seed43/metrics.csv,0.7477432296890673,0.7477432296890673,0.3774075503251865,0.6490508161309207,,,0.6161427583037339,0.8712275716036999,,,
rel-salt,item-shippoint,dfs,44,task_root,0,results/rel-salt_item-shippoint_tabpfn/dfs/seed44/metrics.csv,0.7477432296890673,0.7477432296890673,0.3774075503251865,0.6490508161309207,,,0.6112921115534062,0.8674822085303528,,,
rel-salt,item-shippoint,fdhg,41,task_root,0,results/rel-salt_item-shippoint_tabpfn/fdhg_dmax1/seed41/metrics.csv,0.8269809428284854,0.8269809428284854,0.5708698942750817,0.8048442742518782,,,0.4066213203373273,0.9091858910063524,,,
rel-salt,item-shippoint,fdhg,42,task_root,0,results/rel-salt_item-shippoint_tabpfn/fdhg_dmax1/seed42/metrics.csv,0.8234704112337011,0.8234704112337011,0.5873786601774269,0.8032151958810272,,,0.3957174681974377,0.9064538854659216,,,
rel-salt,item-shippoint,fdhg,43,task_root,0,results/rel-salt_item-shippoint_tabpfn/fdhg_dmax1/seed43/metrics.csv,0.8294884653961886,0.8294884653961886,0.5638482127470916,0.8201020074539525,,,0.41098878318985,0.908680804317715,,,
rel-salt,item-shippoint,fdhg,44,task_root,0,results/rel-salt_item-shippoint_tabpfn/fdhg_dmax1/seed44/metrics.csv,0.802407221664995,0.802407221664995,0.5628532259468723,0.7995001050345285,,,0.4125281652817787,0.8978936810431294,,,
rel-salt,sales-group,dfs,41,task_root,0,results/rel-salt_sales-group_catboost/dfs/seed41/metrics.csv,0.0775193798449612,0.0775193798449612,0.0019129858372315,0.0133542689234243,,,5.427296669789757,0.1212355260149686,,,
rel-salt,sales-group,dfs,42,task_root,0,results/rel-salt_sales-group_catboost/dfs/seed42/metrics.csv,0.0775193798449612,0.0775193798449612,0.0019129858372315,0.0133542689234243,,,5.427295685870326,0.1212097146248755,,,
rel-salt,sales-group,dfs,43,task_root,0,results/rel-salt_sales-group_catboost/dfs/seed43/metrics.csv,0.0775193798449612,0.0775193798449612,0.0019129858372315,0.0133542689234243,,,5.427294934508123,0.1212326428293485,,,
