dataset,task,task_type,comparison_scope,gate_mode,primary_metric,secondary_metric,seed,base_primary_score,candidate_primary_score,primary_improvement,secondary_improvement,seed_pass,base_source,candidate_source
rel-salt,sales-office,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,41,0.9995,1.0,0.0004999999999999449,,True,results/rel-salt_sales-office_tabpfn/dfs/seed41/metrics.csv,results/rel-salt_sales-office_tabpfn/fdhg_dmax1/seed41/metrics.csv
rel-salt,sales-office,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,42,0.9995,0.9995,0.0,,False,results/rel-salt_sales-office_tabpfn/dfs/seed42/metrics.csv,results/rel-salt_sales-office_tabpfn/fdhg_dmax1/seed42/metrics.csv
rel-salt,sales-office,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,43,0.9995,0.9995,0.0,,False,results/rel-salt_sales-office_tabpfn/dfs/seed43/metrics.csv,results/rel-salt_sales-office_tabpfn/fdhg_dmax1/seed43/metrics.csv
rel-salt,sales-office,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,44,0.999,1.0,0.0010000000000000009,,True,results/rel-salt_sales-office_tabpfn/dfs/seed44/metrics.csv,results/rel-salt_sales-office_tabpfn/fdhg_dmax1/seed44/metrics.csv
rel-salt,sales-payterms,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,41,0.2831415707853927,0.2831415707853927,0.0,,False,results/rel-salt_sales-payterms_tabpfn/dfs/seed41/metrics.csv,results/rel-salt_sales-payterms_tabpfn/fdhg_dmax1/seed41/metrics.csv
rel-salt,sales-payterms,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,42,0.2826413206603301,0.2831415707853927,0.0005002501250626068,,True,results/rel-salt_sales-payterms_tabpfn/dfs/seed42/metrics.csv,results/rel-salt_sales-payterms_tabpfn/fdhg_dmax1/seed42/metrics.csv
rel-salt,sales-payterms,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,43,0.2831415707853927,0.2831415707853927,0.0,,False,results/rel-salt_sales-payterms_tabpfn/dfs/seed43/metrics.csv,results/rel-salt_sales-payterms_tabpfn/fdhg_dmax1/seed43/metrics.csv
rel-salt,sales-payterms,multiclass_classification,dfs_vs_fdhg,single_metric,accuracy,,44,0.2831415707853927,0.2831415707853927,0.0,,False,results/rel-salt_sales-payterms_tabpfn/dfs/seed44/metrics.csv,results/rel-salt_sales-payterms_tabpfn/fdhg_dmax1/seed44/metrics.csv
rel-salt,sales-shipcond,multiclass_classification,dfs_vs_fdhg,lexicographic,accuracy,mrr,41,0.2722722722722723,0.2737737737737737,0.0015015015015014122,0.0031520354730759093,True,results/rel-salt_sales-shipcond_tabpfn/dfs/seed41/metrics.csv,results/rel-salt_sales-shipcond_tabpfn/fdhg_dmax1/seed41/metrics.csv
rel-salt,sales-shipcond,multiclass_classification,dfs_vs_fdhg,lexicographic,accuracy,mrr,42,0.2722722722722723,0.2712712712712712,-0.0010010010010010895,0.0013160544704282073,False,results/rel-salt_sales-shipcond_tabpfn/dfs/seed42/metrics.csv,results/rel-salt_sales-shipcond_tabpfn/fdhg_dmax1/seed42/metrics.csv
rel-salt,sales-shipcond,multiclass_classification,dfs_vs_fdhg,lexicographic,accuracy,mrr,43,0.2722722722722723,0.2737737737737737,0.0015015015015014122,0.003398540856780208,True,results/rel-salt_sales-shipcond_tabpfn/dfs/seed43/metrics.csv,results/rel-salt_sales-shipcond_tabpfn/fdhg_dmax1/seed43/metrics.csv
rel-salt,sales-shipcond,multiclass_classification,dfs_vs_fdhg,lexicographic,accuracy,mrr,44,0.2722722722722723,0.2737737737737737,0.0015015015015014122,0.0033865994249131504,True,results/rel-salt_sales-shipcond_tabpfn/dfs/seed44/metrics.csv,results/rel-salt_sales-shipcond_tabpfn/fdhg_dmax1/seed44/metrics.csv
rel-stack,user-badge,binary_classification,dfs_vs_fdhg,single_metric,roc_auc,,41,0.8680709804227033,0.8824660156229364,0.014395035200233108,,True,results/final_tables/paper_main_runs.csv,results/final_tables/paper_main_runs.csv
rel-stack,user-badge,binary_classification,dfs_vs_fdhg,single_metric,roc_auc,,42,0.8649947394880146,0.879981368896094,0.014986629408079377,,True,results/final_tables/paper_main_runs.csv,results/final_tables/paper_main_runs.csv
rel-stack,user-badge,binary_classification,dfs_vs_fdhg,single_metric,roc_auc,,43,0.8673571361675554,0.8818893365734755,0.01453220040592007,,True,results/final_tables/paper_main_runs.csv,results/final_tables/paper_main_runs.csv
rel-stack,user-badge,binary_classification,dfs_vs_fdhg,single_metric,roc_auc,,44,0.864939314860997,0.8808392484971991,0.015899933636202124,,True,results/final_tables/paper_main_runs.csv,results/final_tables/paper_main_runs.csv
