dataset,task,variant,seed,model,split,n_train,n_val,n_features,feature_budget,dmax,uses_afd,uses_ambiguity,uses_dmax2,uses_supervised_ranker,is_fdhg_fallback,accuracy,roc_auc,average_precision,log_loss,runtime_sec,feature_path,result_path,status,failure_reason
rel-avito,user-clicks,dfs,41,tabpfn,val,,,13,,1,False,False,False,False,False,0.9715,0.5944370705456384,0.06062323081171402,0.12836134932081947,,,results/phase2_relbench_explicit_fixed/rel-avito_user-clicks_dfs/dfs_agg_rel-avito_user-clicks_tabpfn_seed41.json,ok,
rel-avito,user-clicks,dfs,41,tabpfn,val,,,13,,1,False,True,False,False,False,0.9715,0.5944370705456384,0.06062323081171402,0.12836134932081947,,,results/phase2_relbench_explicit_fixed/rel-avito_user-clicks_fdhg/dfs_agg_rel-avito_user-clicks_tabpfn_seed41.json,ok,
rel-avito,user-clicks,fdhg_dmax1,41,tabpfn,val,,,13,,1,True,True,False,False,False,0.9715,0.5944370705456384,0.060623230811714,0.1283613493208194,,,results/phase2_relbench_explicit_fixed/phase2_main_runs.csv,ok,
rel-avito,user-clicks,naive,41,tabpfn,val,,,8,,,False,False,False,False,False,0.9715,0.5432230860217966,0.035796610777117,0.1291756964547751,,,results/phase2_relbench_explicit_fixed/phase2_main_runs.csv,ok,
rel-avito,user-clicks,naive,41,tabpfn,val,,,8,,,False,False,False,False,False,0.9715,0.5432230860217966,0.03579661077711703,0.12917569645477517,,,results/phase2_relbench_explicit_fixed/rel-avito_user-clicks_naive/dfs_agg_rel-avito_user-clicks_tabpfn_seed41.json,ok,
rel-avito,user-clicks,target_only,41,tabpfn,val,,,4,,,False,False,False,False,False,0.9655,0.4957745104661548,0.034866887363945,0.1504705423642823,,,results/phase2_relbench_explicit_fixed/phase2_main_runs.csv,ok,
rel-avito,user-clicks,target_only,41,tabpfn,val,,,4,,,False,False,False,False,False,0.9655,0.49577451046615484,0.03486688736394503,0.15047054236428237,,,results/week1/target_only_rel-avito_user-clicks_tabpfn_seed41.json,ok,
rel-avito,user-visits,dfs,41,tabpfn,val,,,13,,1,False,False,False,False,False,0.9025,0.7168207969316003,0.9567987863032564,0.30853409843397656,,,results/phase2_relbench_explicit_fixed/rel-avito_user-visits_dfs/dfs_agg_rel-avito_user-visits_tabpfn_seed41.json,ok,
rel-avito,user-visits,dfs,41,tabpfn,val,,,13,,1,False,True,False,False,False,0.9025,0.7168207969316003,0.9567987863032564,0.30853409843397656,,,results/phase2_relbench_explicit_fixed/rel-avito_user-visits_fdhg/dfs_agg_rel-avito_user-visits_tabpfn_seed41.json,ok,
rel-avito,user-visits,dfs,41,tabpfn,val,,,13,,1,False,False,False,False,False,0.9025,0.7130421194687122,0.9565681501308507,0.3085250780377309,,,results/phase2_relbench_more/rel-avito_user-visits_dfs/dfs_agg_rel-avito_user-visits_tabpfn_seed41.json,ok,
rel-avito,user-visits,dfs,41,tabpfn,val,,,13,,1,False,True,False,False,False,0.9025,0.7130421194687122,0.9565681501308507,0.3085250780377309,,,results/phase2_relbench_more/rel-avito_user-visits_fdhg/dfs_agg_rel-avito_user-visits_tabpfn_seed41.json,ok,
rel-avito,user-visits,naive,41,tabpfn,val,,,8,,,False,False,False,False,False,0.9025,0.6395184317067975,0.9329848159215697,0.31446940464789525,,,results/phase2_relbench_explicit_fixed/rel-avito_user-visits_naive/dfs_agg_rel-avito_user-visits_tabpfn_seed41.json,ok,
rel-avito,user-visits,naive,41,tabpfn,val,,,8,,,False,False,False,False,False,0.9025,0.640541231621564,0.9327364226577388,0.3148300546163864,,,results/phase2_relbench_more/rel-avito_user-visits_naive/dfs_agg_rel-avito_user-visits_tabpfn_seed41.json,ok,
rel-avito,user-visits,target_only,41,tabpfn,val,,,4,,,False,False,False,False,False,0.9065,0.5401806914411956,0.9168271438347395,0.31374595440007075,,,results/week1/target_only_rel-avito_user-visits_tabpfn_seed41.json,ok,
rel-event,user-attendance,target_only,41,tabpfn,val,,,6,,,False,False,False,False,False,,,,,,,results/week1/target_only_rel-event_user-attendance_tabpfn_seed41.json,failed,
rel-event,user-ignore,dfs,41,tabpfn,val,,,15,,1,False,False,False,False,False,0.924,0.8835418186039352,0.6344844971535823,0.2169913130056204,,,results/phase2_relbench_explicit_fixed/rel-event_user-ignore_dfs/dfs_agg_rel-event_user-ignore_tabpfn_seed41.json,ok,
rel-event,user-ignore,dfs,41,tabpfn,val,,,15,,1,False,True,False,False,False,0.924,0.8835418186039352,0.6344844971535823,0.2169913130056204,,,results/phase2_relbench_explicit_fixed/rel-event_user-ignore_fdhg/dfs_agg_rel-event_user-ignore_tabpfn_seed41.json,ok,
rel-event,user-ignore,dfs,41,tabpfn,val,,,15,,1,False,False,False,False,False,0.924,0.8835418186039352,0.6344844971535823,0.2169913130056204,,,results/phase2_relbench_rel_event/rel-event_user-ignore_dfs/dfs_agg_rel-event_user-ignore_tabpfn_seed41.json,ok,
rel-event,user-ignore,dfs,41,tabpfn,val,,,15,,1,False,True,False,False,False,0.924,0.8835418186039352,0.6344844971535823,0.2169913130056204,,,results/phase2_relbench_rel_event/rel-event_user-ignore_fdhg/dfs_agg_rel-event_user-ignore_tabpfn_seed41.json,ok,
rel-event,user-ignore,naive,41,tabpfn,val,,,10,,,False,False,False,False,False,0.925,0.8809589901860091,0.6526896188601606,0.21618604876288958,,,results/phase2_relbench_explicit_fixed/rel-event_user-ignore_naive/dfs_agg_rel-event_user-ignore_tabpfn_seed41.json,ok,
rel-event,user-ignore,naive,41,tabpfn,val,,,10,,,False,False,False,False,False,0.925,0.8809589901860091,0.6526896188601606,0.21618604876288958,,,results/phase2_relbench_rel_event/rel-event_user-ignore_naive/dfs_agg_rel-event_user-ignore_tabpfn_seed41.json,ok,
rel-event,user-ignore,target_only,41,tabpfn,val,,,6,,,False,False,False,False,False,0.9285,0.8915935139079672,0.6687328563967875,0.19912387988215938,,,results/week1/target_only_rel-event_user-ignore_tabpfn_seed41.json,ok,
rel-event,user-repeat,dfs,41,tabpfn,val,,,15,,1,False,False,False,False,False,0.664179104477612,0.736845039018952,0.7319375167386393,0.6264768259600388,,,results/phase2_relbench_explicit_fixed/rel-event_user-repeat_dfs/dfs_agg_rel-event_user-repeat_tabpfn_seed41.json,ok,
rel-event,user-repeat,dfs,41,tabpfn,val,,,15,,1,False,True,False,False,False,0.664179104477612,0.736845039018952,0.7319375167386393,0.6264768259600388,,,results/phase2_relbench_explicit_fixed/rel-event_user-repeat_fdhg/dfs_agg_rel-event_user-repeat_tabpfn_seed41.json,ok,
